time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,12750,5.0,0,1
2023-01-02,Monday,12750,4.5,0,1
2023-01-03,Tuesday,12750,5.2,0,1
2023-01-04,Wednesday,12750,13.8,0,1
2023-01-05,Thursday,12750,13.7,0,1
2023-01-06,Friday,12750,13.3,0,1
2023-01-07,Saturday,12750,2.2,0,1
2023-01-08,Sunday,12749,2.3,0,0
2023-01-09,Monday,12750,10.6,0,0
2023-01-10,Tuesday,12750,5.6,0,0
2023-01-11,Wednesday,12750,0.9,0,0
2023-01-12,Thursday,12750,0.7,0,0
2023-01-13,Friday,12750,0.0,0,0
2023-01-14,Saturday,12822,2.2,0,0
2023-01-15,Sunday,12928,1.1,0,0
2023-01-16,Monday,13000,3.6,0,0
2023-01-17,Tuesday,13000,6.6,0,0
2023-01-18,Wednesday,13000,2.5,0,0
2023-01-19,Thursday,13000,2.7,0,0
2023-01-20,Friday,13000,4.6,0,0
2023-01-21,Saturday,13001,0.6,0,0
2023-01-22,Sunday,13001,3.4,0,0
2023-01-23,Monday,13000,0.8,0,0
2023-01-24,Tuesday,13000,2.0,0,0
2023-01-25,Wednesday,13000,20.4,0,0
2023-01-26,Thursday,13000,30.7,0,0
2023-01-27,Friday,13000,13.4,0,0
2023-01-28,Saturday,13001,18.2,0,0
2023-01-29,Sunday,13002,16.8,0,0
2023-01-30,Monday,13000,3.8,0,0
2023-01-31,Tuesday,13000,12.0,0,0
2023-02-01,Wednesday,13000,19.8,0,0
2023-02-02,Thursday,13000,3.8,0,0
2023-02-03,Friday,13000,14.6,0,0
2023-02-04,Saturday,13039,5.4,0,0
2023-02-05,Sunday,13116,12.1,0,0
2023-02-06,Monday,13250,1.4,0,0
2023-02-07,Tuesday,13400,15.4,0,0
2023-02-08,Wednesday,13400,17.7,0,0
2023-02-09,Thursday,13400,24.5,0,0
2023-02-10,Friday,13400,21.0,0,0
2023-02-11,Saturday,13333,23.6,0,0
2023-02-12,Sunday,13289,10.4,0,0
2023-02-13,Monday,13400,18.9,0,0
2023-02-14,Tuesday,13650,19.2,0,0
2023-02-15,Wednesday,13650,30.0,0,0
2023-02-16,Thursday,13650,38.5,0,0
2023-02-17,Friday,13650,40.3,0,0
2023-02-18,Saturday,13650,2.8,0,0
2023-02-19,Sunday,13650,12.9,0,0
2023-02-20,Monday,13650,5.5,0,0
2023-02-21,Tuesday,13650,4.0,0,0
2023-02-22,Wednesday,13650,3.6,0,0
2023-02-23,Thursday,13650,6.2,0,0
2023-02-24,Friday,13650,17.6,0,0
2023-02-25,Saturday,13650,18.5,0,0
2023-02-26,Sunday,13650,12.5,0,0
2023-02-27,Monday,13650,22.0,0,0
2023-02-28,Tuesday,13650,25.4,0,0
2023-03-01,Wednesday,13650,32.7,1,0
2023-03-02,Thursday,13650,36.4,1,0
2023-03-03,Friday,13650,1.1,1,0
2023-03-04,Saturday,13650,2.8,1,0
2023-03-05,Sunday,13650,5.8,1,0
2023-03-06,Monday,13650,3.4,1,0
2023-03-07,Tuesday,13650,4.7,1,0
2023-03-08,Wednesday,13650,5.0,1,0
2023-03-09,Thursday,13650,1.2,1,0
2023-03-10,Friday,13650,0.8,1,0
2023-03-11,Saturday,13650,0.7,1,0
2023-03-12,Sunday,13650,0.3,1,0
2023-03-13,Monday,13650,1.2,1,0
2023-03-14,Tuesday,13650,3.3,1,0
2023-03-15,Wednesday,13650,16.1,1,0
2023-03-16,Thursday,13650,19.3,1,0
2023-03-17,Friday,13650,12.6,1,0
2023-03-18,Saturday,13650,2.0,1,0
2023-03-19,Sunday,13650,9.6,1,0
2023-03-20,Monday,13650,15.0,1,0
2023-03-21,Tuesday,13650,6.9,1,0
2023-03-22,Wednesday,13650,26.8,1,0
2023-03-23,Thursday,13650,2.3,1,1
2023-03-24,Friday,13650,8.5,1,1
2023-03-25,Saturday,13650,11.1,1,1
2023-03-26,Sunday,13650,18.2,1,1
2023-03-27,Monday,13650,24.8,1,1
2023-03-28,Tuesday,13650,5.8,1,1
2023-03-29,Wednesday,13650,12.8,1,1
2023-03-30,Thursday,13650,6.7,1,1
2023-03-31,Friday,13650,0.0,1,1
2023-04-01,Saturday,13652,31.0,1,1
2023-04-02,Sunday,13652,13.8,1,1
2023-04-03,Monday,13650,13.5,1,1
2023-04-04,Tuesday,13650,2.7,1,1
2023-04-05,Wednesday,13650,0.5,1,1
2023-04-06,Thursday,13650,0.7,1,1
2023-04-07,Friday,14000,0.0,1,1
2023-04-08,Saturday,14057,2.8,1,1
2023-04-09,Sunday,13847,0.5,1,1
2023-04-10,Monday,13650,16.2,1,1
2023-04-11,Tuesday,13650,2.6,1,1
2023-04-12,Wednesday,13650,10.0,1,1
2023-04-13,Thursday,13650,20.4,1,1
2023-04-14,Friday,13650,1.3,1,1
2023-04-15,Saturday,13649,0.8,1,1
2023-04-16,Sunday,13650,0.0,1,1
2023-04-17,Monday,13650,0.5,1,1
2023-04-18,Tuesday,13650,8.4,1,1
2023-04-19,Wednesday,13650,0.5,1,1
2023-04-20,Thursday,13650,1.1,1,1
2023-04-21,Friday,13650,1.2,1,1
2023-04-22,Saturday,13650,31.0,1,1
2023-04-23,Sunday,13649,5.9,1,1
2023-04-24,Monday,13650,8.2,1,1
2023-04-25,Tuesday,13650,6.3,1,1
2023-04-26,Wednesday,13650,3.5,1,1
2023-04-27,Thursday,13650,9.5,1,1
2023-04-28,Friday,13650,10.8,1,1
2023-04-29,Saturday,13844,20.2,1,1
2023-04-30,Sunday,14055,1.7,1,1
2023-05-01,Monday,14000,17.2,0,0
2023-05-02,Tuesday,13650,13.2,0,0
2023-05-03,Wednesday,13650,14.6,0,0
2023-05-04,Thursday,13650,29.0,0,0
2023-05-05,Friday,13650,9.0,0,0
2023-05-06,Saturday,13652,8.7,0,0
2023-05-07,Sunday,13652,2.7,0,0
2023-05-08,Monday,13650,0.0,0,0
2023-05-09,Tuesday,13650,0.8,0,0
2023-05-10,Wednesday,13650,4.3,0,0
2023-05-11,Thursday,13650,14.4,0,0
2023-05-12,Friday,13650,1.7,0,0
2023-05-13,Saturday,13650,0.1,0,0
2023-05-14,Sunday,13650,0.0,0,0
2023-05-15,Monday,13650,0.0,0,0
2023-05-16,Tuesday,13650,0.0,0,0
2023-05-17,Wednesday,13650,0.0,0,0
2023-05-18,Thursday,13650,0.0,0,0
2023-05-19,Friday,13650,1.4,0,0
2023-05-20,Saturday,13650,0.1,0,0
2023-05-21,Sunday,13650,0.3,0,0
2023-05-22,Monday,13650,0.1,0,0
2023-05-23,Tuesday,13650,1.0,0,0
2023-05-24,Wednesday,13650,0.2,0,0
2023-05-25,Thursday,13650,0.6,0,0
2023-05-26,Friday,13650,0.1,0,0
2023-05-27,Saturday,13650,0.0,0,0
2023-05-28,Sunday,13650,0.0,0,0
2023-05-29,Monday,13650,0.0,0,0
2023-05-30,Tuesday,13650,0.0,0,0
2023-05-31,Wednesday,13650,1.2,0,0
2023-06-01,Thursday,13650,0.6,0,0
2023-06-02,Friday,13650,1.5,0,0
2023-06-03,Saturday,13650,1.0,0,0
2023-06-04,Sunday,13650,0.1,0,0
2023-06-05,Monday,13650,0.6,0,0
2023-06-06,Tuesday,13650,3.2,0,0
2023-06-07,Wednesday,13650,4.5,0,0
2023-06-08,Thursday,13650,6.6,0,0
2023-06-09,Friday,13650,0.0,0,0
2023-06-10,Saturday,13650,0.0,0,0
2023-06-11,Sunday,13650,1.8,0,0
