time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,10650,0.0,0,1
2023-01-02,Monday,10650,0.1,0,1
2023-01-03,Tuesday,10650,1.9,0,1
2023-01-04,Wednesday,10650,14.4,0,1
2023-01-05,Thursday,10650,8.0,0,1
2023-01-06,Friday,10650,6.8,0,1
2023-01-07,Saturday,10650,3.0,0,1
2023-01-08,Sunday,10650,6.4,0,0
2023-01-09,Monday,10650,1.8,0,0
2023-01-10,Tuesday,10650,1.6,0,0
2023-01-11,Wednesday,10650,3.3,0,0
2023-01-12,Thursday,10650,0.3,0,0
2023-01-13,Friday,10650,0.6,0,0
2023-01-14,Saturday,10650,1.2,0,0
2023-01-15,Sunday,10650,2.7,0,0
2023-01-16,Monday,10650,1.1,0,0
2023-01-17,Tuesday,10650,0.7,0,0
2023-01-18,Wednesday,10650,1.9,0,0
2023-01-19,Thursday,10650,5.2,0,0
2023-01-20,Friday,10650,5.7,0,0
2023-01-21,Saturday,10650,1.2,0,0
2023-01-22,Sunday,10650,1.1,0,0
2023-01-23,Monday,10650,0.7,0,0
2023-01-24,Tuesday,10650,2.8,0,0
2023-01-25,Wednesday,10650,2.9,0,0
2023-01-26,Thursday,10650,40.0,0,0
2023-01-27,Friday,10650,8.1,0,0
2023-01-28,Saturday,10650,4.7,0,0
2023-01-29,Sunday,10650,1.6,0,0
2023-01-30,Monday,10650,10.0,0,0
2023-01-31,Tuesday,10650,8.2,0,0
2023-02-01,Wednesday,10650,10.9,0,0
2023-02-02,Thursday,10650,29.2,0,0
2023-02-03,Friday,10650,3.7,0,0
2023-02-04,Saturday,10650,1.0,0,0
2023-02-05,Sunday,10650,0.0,0,0
2023-02-06,Monday,10650,0.0,0,0
2023-02-07,Tuesday,10650,0.0,0,0
2023-02-08,Wednesday,10650,1.8,0,0
2023-02-09,Thursday,10650,0.1,0,0
2023-02-10,Friday,10650,0.0,0,0
2023-02-11,Saturday,10650,0.2,0,0
2023-02-12,Sunday,10650,6.7,0,0
2023-02-13,Monday,10650,38.3,0,0
2023-02-14,Tuesday,10650,0.3,0,0
2023-02-15,Wednesday,10650,0.5,0,0
2023-02-16,Thursday,10650,4.3,0,0
2023-02-17,Friday,10650,1.6,0,0
2023-02-18,Saturday,10923,0.8,0,0
2023-02-19,Sunday,11329,1.1,0,0
2023-02-20,Monday,11600,1.8,0,0
2023-02-21,Tuesday,11600,1.9,0,0
2023-02-22,Wednesday,11600,0.8,0,0
2023-02-23,Thursday,11600,0.4,0,0
2023-02-24,Friday,11600,1.7,0,0
2023-02-25,Saturday,11585,3.9,0,0
2023-02-26,Sunday,11584,0.9,0,0
2023-02-27,Monday,11600,2.6,0,0
2023-02-28,Tuesday,11600,4.6,0,0
2023-03-01,Wednesday,11450,6.3,1,0
2023-03-02,Thursday,11450,1.3,1,0
2023-03-03,Friday,11450,1.7,1,0
2023-03-04,Saturday,11276,1.2,1,0
2023-03-05,Sunday,11024,1.0,1,0
2023-03-06,Monday,10850,3.9,1,0
2023-03-07,Tuesday,10850,0.9,1,0
2023-03-08,Wednesday,10850,0.3,1,0
2023-03-09,Thursday,10850,1.3,1,0
2023-03-10,Friday,10850,1.1,1,0
2023-03-11,Saturday,10849,3.7,1,0
2023-03-12,Sunday,10849,3.6,1,0
2023-03-13,Monday,10850,27.2,1,0
2023-03-14,Tuesday,10850,12.8,1,0
2023-03-15,Wednesday,10850,2.9,1,0
2023-03-16,Thursday,10850,8.1,1,0
2023-03-17,Friday,10850,7.6,1,0
2023-03-18,Saturday,10850,5.9,1,0
2023-03-19,Sunday,10850,4.5,1,0
2023-03-20,Monday,10850,26.0,1,0
2023-03-21,Tuesday,10850,2.6,1,0
2023-03-22,Wednesday,10850,0.3,1,0
2023-03-23,Thursday,10850,0.0,1,1
2023-03-24,Friday,10850,5.0,1,1
2023-03-25,Saturday,10850,2.8,1,1
2023-03-26,Sunday,10850,14.7,1,1
2023-03-27,Monday,10850,1.1,1,1
2023-03-28,Tuesday,10850,4.1,1,1
2023-03-29,Wednesday,10850,1.3,1,1
2023-03-30,Thursday,10850,4.1,1,1
2023-03-31,Friday,10850,2.2,1,1
2023-04-01,Saturday,10850,3.3,1,1
2023-04-02,Sunday,10850,2.0,1,1
2023-04-03,Monday,10850,0.6,1,1
2023-04-04,Tuesday,10850,1.1,1,1
2023-04-05,Wednesday,10850,0.3,1,1
2023-04-06,Thursday,10850,1.8,1,1
2023-04-07,Friday,10850,4.3,1,1
2023-04-08,Saturday,10850,2.0,1,1
2023-04-09,Sunday,10850,1.8,1,1
2023-04-10,Monday,10850,4.2,1,1
2023-04-11,Tuesday,10850,4.7,1,1
2023-04-12,Wednesday,10850,0.2,1,1
2023-04-13,Thursday,10850,7.8,1,1
2023-04-14,Friday,10850,0.7,1,1
2023-04-15,Saturday,10850,1.2,1,1
2023-04-16,Sunday,10850,12.0,1,1
2023-04-17,Monday,10850,2.4,1,1
2023-04-18,Tuesday,10850,1.8,1,1
2023-04-19,Wednesday,10850,4.2,1,1
2023-04-20,Thursday,10850,4.3,1,1
2023-04-21,Friday,10850,4.7,1,1
2023-04-22,Saturday,10850,1.0,1,1
2023-04-23,Sunday,10850,0.0,1,1
2023-04-24,Monday,10850,0.0,1,1
2023-04-25,Tuesday,10850,4.6,1,1
2023-04-26,Wednesday,10850,22.1,1,1
2023-04-27,Thursday,10850,2.9,1,1
2023-04-28,Friday,10850,36.2,1,1
2023-04-29,Saturday,10850,6.5,1,1
2023-04-30,Sunday,10850,6.3,1,1
2023-05-01,Monday,10850,9.3,0,0
2023-05-02,Tuesday,10850,23.9,0,0
2023-05-03,Wednesday,10850,0.2,0,0
2023-05-04,Thursday,10850,8.3,0,0
2023-05-05,Friday,10850,1.0,0,0
2023-05-06,Saturday,10850,1.2,0,0
2023-05-07,Sunday,10850,0.7,0,0
2023-05-08,Monday,10850,12.5,0,0
2023-05-09,Tuesday,10850,37.6,0,0
2023-05-10,Wednesday,10850,13.4,0,0
2023-05-11,Thursday,10850,1.7,0,0
2023-05-12,Friday,10850,0.3,0,0
2023-05-13,Saturday,10850,1.4,0,0
2023-05-14,Sunday,10850,2.0,0,0
2023-05-15,Monday,10850,4.2,0,0
2023-05-16,Tuesday,10850,3.5,0,0
2023-05-17,Wednesday,10850,2.7,0,0
2023-05-18,Thursday,10850,0.0,0,0
2023-05-19,Friday,10850,2.0,0,0
2023-05-20,Saturday,10850,0.0,0,0
2023-05-21,Sunday,10850,0.5,0,0
2023-05-22,Monday,10850,0.5,0,0
2023-05-23,Tuesday,10850,0.6,0,0
2023-05-24,Wednesday,10850,1.4,0,0
2023-05-25,Thursday,10850,0.5,0,0
2023-05-26,Friday,10850,0.0,0,0
2023-05-27,Saturday,10850,0.7,0,0
2023-05-28,Sunday,10850,0.3,0,0
2023-05-29,Monday,10850,1.0,0,0
2023-05-30,Tuesday,10850,0.4,0,0
2023-05-31,Wednesday,10850,0.9,0,0
2023-06-01,Thursday,10850,0.0,0,0
2023-06-02,Friday,10850,2.9,0,0
2023-06-03,Saturday,10850,11.9,0,0
2023-06-04,Sunday,10850,3.2,0,0
2023-06-05,Monday,10850,0.7,0,0
2023-06-06,Tuesday,10850,1.2,0,0
2023-06-07,Wednesday,10850,0.0,0,0
2023-06-08,Thursday,10850,0.3,0,0
2023-06-09,Friday,10850,9.4,0,0
2023-06-10,Saturday,10850,8.2,0,0
2023-06-11,Sunday,10850,1.4,0,0
2023-06-12,Monday,10850,1.2,0,0
2023-06-13,Tuesday,10850,1.6,0,0
2023-06-14,Wednesday,10850,0.5,0,0
2023-06-15,Thursday,10850,6.5,0,0
2023-06-16,Friday,10850,1.4,0,0
2023-06-17,Saturday,10850,0.5,0,0
2023-06-18,Sunday,10850,5.3,0,0
2023-06-19,Monday,10850,11.8,0,0
2023-06-20,Tuesday,10850,2.8,0,0
2023-06-21,Wednesday,10850,0.0,0,0
2023-06-22,Thursday,10850,0.7,0,0
2023-06-23,Friday,10850,1.4,0,0
2023-06-24,Saturday,10850,10.9,0,0
2023-06-25,Sunday,10850,0.0,0,0
2023-06-26,Monday,10850,8.2,0,0
2023-06-27,Tuesday,10850,5.5,0,0
2023-06-28,Wednesday,10850,3.1,0,0
2023-06-29,Thursday,10850,1.1,0,0
2023-06-30,Friday,10850,11.7,0,0
2023-07-01,Saturday,10850,5.5,1,0
2023-07-02,Sunday,10850,19.1,1,0
2023-07-03,Monday,10850,28.9,1,0
2023-07-04,Tuesday,10850,3.9,1,0
