time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,13100,2.5,0,1
2023-01-02,Monday,13100,1.4,0,1
2023-01-03,Tuesday,13100,2.9,0,1
2023-01-04,Wednesday,13100,6.7,0,1
2023-01-05,Thursday,13100,8.8,0,1
2023-01-06,Friday,13100,8.7,0,1
2023-01-07,Saturday,13100,4.2,0,1
2023-01-08,Sunday,13100,3.5,0,0
2023-01-09,Monday,13100,3.7,0,0
2023-01-10,Tuesday,13100,4.5,0,0
2023-01-11,Wednesday,13100,2.4,0,0
2023-01-12,Thursday,13100,0.6,0,0
2023-01-13,Friday,13100,0.5,0,0
2023-01-14,Saturday,13100,14.8,0,0
2023-01-15,Sunday,13100,21.3,0,0
2023-01-16,Monday,13100,18.0,0,0
2023-01-17,Tuesday,13100,14.0,0,0
2023-01-18,Wednesday,13100,3.3,0,0
2023-01-19,Thursday,13100,11.1,0,0
2023-01-20,Friday,13100,12.1,0,0
2023-01-21,Saturday,13099,11.7,0,0
2023-01-22,Sunday,13100,2.0,0,0
2023-01-23,Monday,13100,0.7,0,0
2023-01-24,Tuesday,13100,0.7,0,0
2023-01-25,Wednesday,13100,7.9,0,0
2023-01-26,Thursday,13200,21.3,0,0
2023-01-27,Friday,13200,18.5,0,0
2023-01-28,Saturday,13188,34.2,0,0
2023-01-29,Sunday,13190,36.7,0,0
2023-01-30,Monday,13200,7.2,0,0
2023-01-31,Tuesday,13200,11.5,0,0
2023-02-01,Wednesday,13200,33.2,0,0
2023-02-02,Thursday,13250,2.5,0,0
2023-02-03,Friday,13600,8.7,0,0
2023-02-04,Saturday,13747,17.0,0,0
2023-02-05,Sunday,13689,6.1,0,0
2023-02-06,Monday,13600,5.0,0,0
2023-02-07,Tuesday,13600,39.5,0,0
2023-02-08,Wednesday,13600,37.1,0,0
2023-02-09,Thursday,13600,41.4,0,0
2023-02-10,Friday,13600,22.6,0,0
2023-02-11,Saturday,13602,62.8,0,0
2023-02-12,Sunday,13602,33.3,0,0
2023-02-13,Monday,13600,9.2,0,0
2023-02-14,Tuesday,13600,6.6,0,0
2023-02-15,Wednesday,13600,14.7,0,0
2023-02-16,Thursday,13600,24.7,0,0
2023-02-17,Friday,14000,9.6,0,0
2023-02-18,Saturday,14062,10.7,0,0
2023-02-19,Sunday,13823,5.1,0,0
2023-02-20,Monday,13600,8.2,0,0
2023-02-21,Tuesday,13600,2.5,0,0
2023-02-22,Wednesday,13600,21.6,0,0
2023-02-23,Thursday,13600,19.0,0,0
2023-02-24,Friday,13600,32.6,0,0
2023-02-25,Saturday,13598,69.8,0,0
2023-02-26,Sunday,13598,13.7,0,0
2023-02-27,Monday,13600,12.4,0,0
2023-02-28,Tuesday,13600,32.9,0,0
2023-03-01,Wednesday,13600,16.2,1,0
2023-03-02,Thursday,13600,35.9,1,0
2023-03-03,Friday,13600,2.9,1,0
2023-03-04,Saturday,13600,8.7,1,0
2023-03-05,Sunday,13599,18.2,1,0
2023-03-06,Monday,13600,4.8,1,0
2023-03-07,Tuesday,13600,0.2,1,0
2023-03-08,Wednesday,13600,8.8,1,0
2023-03-09,Thursday,13600,0.4,1,0
2023-03-10,Friday,13600,2.6,1,0
2023-03-11,Saturday,13629,0.4,1,0
2023-03-12,Sunday,13671,0.3,1,0
2023-03-13,Monday,13700,5.3,1,0
2023-03-14,Tuesday,13700,4.1,1,0
2023-03-15,Wednesday,13700,0.4,1,0
2023-03-16,Thursday,13700,1.5,1,0
2023-03-17,Friday,13700,1.0,1,0
2023-03-18,Saturday,13700,3.6,1,0
2023-03-19,Sunday,13700,6.1,1,0
2023-03-20,Monday,13700,9.9,1,0
2023-03-21,Tuesday,13700,0.6,1,0
2023-03-22,Wednesday,13700,7.9,1,0
2023-03-23,Thursday,13700,2.0,1,1
2023-03-24,Friday,13700,45.6,1,1
2023-03-25,Saturday,13700,5.4,1,1
2023-03-26,Sunday,13700,14.1,1,1
2023-03-27,Monday,13700,36.6,1,1
2023-03-28,Tuesday,13700,24.8,1,1
