time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,12100,1.3,0,1
2023-01-02,Monday,12100,8.2,0,1
2023-01-03,Tuesday,12100,5.3,0,1
2023-01-04,Wednesday,12100,7.2,0,1
2023-01-05,Thursday,12100,8.5,0,1
2023-01-06,Friday,12100,2.5,0,1
2023-01-07,Saturday,12100,25.9,0,1
2023-01-08,Sunday,12100,3.6,0,0
2023-01-09,Monday,12100,12.4,0,0
2023-01-10,Tuesday,12100,20.0,0,0
2023-01-11,Wednesday,12100,5.7,0,0
2023-01-12,Thursday,12100,23.0,0,0
2023-01-13,Friday,12100,7.3,0,0
2023-01-14,Saturday,12100,5.3,0,0
2023-01-15,Sunday,12100,12.6,0,0
2023-01-16,Monday,12100,13.3,0,0
2023-01-17,Tuesday,12100,1.0,0,0
2023-01-18,Wednesday,12100,0.4,0,0
2023-01-19,Thursday,12100,5.5,0,0
2023-01-20,Friday,12100,10.9,0,0
2023-01-21,Saturday,12101,39.4,0,0
2023-01-22,Sunday,12101,24.9,0,0
2023-01-23,Monday,12100,15.3,0,0
2023-01-24,Tuesday,12100,6.2,0,0
2023-01-25,Wednesday,12100,5.0,0,0
2023-01-26,Thursday,12100,12.8,0,0
2023-01-27,Friday,12100,8.2,0,0
2023-01-28,Saturday,12048,1.3,0,0
2023-01-29,Sunday,12040,26.6,0,0
2023-01-30,Monday,12200,7.4,0,0
2023-01-31,Tuesday,12500,16.8,0,0
2023-02-01,Wednesday,12500,7.4,0,0
2023-02-02,Thursday,12500,15.9,0,0
2023-02-03,Friday,12500,14.6,0,0
2023-02-04,Saturday,12500,8.8,0,0
2023-02-05,Sunday,12500,8.8,0,0
2023-02-06,Monday,12500,8.2,0,0
2023-02-07,Tuesday,12500,2.4,0,0
2023-02-08,Wednesday,12500,11.4,0,0
2023-02-09,Thursday,12500,4.9,0,0
2023-02-10,Friday,12500,31.8,0,0
2023-02-11,Saturday,12500,43.2,0,0
2023-02-12,Sunday,12500,12.1,0,0
2023-02-13,Monday,12500,4.1,0,0
2023-02-14,Tuesday,12500,8.1,0,0
2023-02-15,Wednesday,12500,2.7,0,0
2023-02-16,Thursday,12500,3.8,0,0
2023-02-17,Friday,12500,1.1,0,0
2023-02-18,Saturday,12500,13.3,0,0
2023-02-19,Sunday,12500,21.7,0,0
2023-02-20,Monday,12500,3.1,0,0
2023-02-21,Tuesday,12500,7.1,0,0
2023-02-22,Wednesday,12500,9.2,0,0
2023-02-23,Thursday,12500,12.2,0,0
2023-02-24,Friday,12500,4.4,0,0
2023-02-25,Saturday,12500,0.2,0,0
2023-02-26,Sunday,12500,8.3,0,0
2023-02-27,Monday,12500,0.3,0,0
2023-02-28,Tuesday,12500,18.8,0,0
2023-03-01,Wednesday,12500,13.4,1,0
2023-03-02,Thursday,12500,8.2,1,0
2023-03-03,Friday,12500,27.8,1,0
2023-03-04,Saturday,12500,2.4,1,0
2023-03-05,Sunday,12500,5.0,1,0
2023-03-06,Monday,12500,2.6,1,0
2023-03-07,Tuesday,12500,0.4,1,0
2023-03-08,Wednesday,12500,0.5,1,0
2023-03-09,Thursday,12500,4.8,1,0
2023-03-10,Friday,12500,10.2,1,0
2023-03-11,Saturday,12500,14.6,1,0
2023-03-12,Sunday,12500,9.5,1,0
2023-03-13,Monday,12500,10.7,1,0
2023-03-14,Tuesday,12500,1.4,1,0
2023-03-15,Wednesday,12500,6.4,1,0
2023-03-16,Thursday,12500,1.8,1,0
2023-03-17,Friday,12500,2.9,1,0
2023-03-18,Saturday,12500,1.7,1,0
2023-03-19,Sunday,12500,0.2,1,0
2023-03-20,Monday,12500,4.3,1,0
2023-03-21,Tuesday,12500,2.5,1,0
2023-03-22,Wednesday,12500,5.1,1,0
2023-03-23,Thursday,12500,25.8,1,1
2023-03-24,Friday,12500,11.4,1,1
2023-03-25,Saturday,12500,30.1,1,1
2023-03-26,Sunday,12500,15.5,1,1
2023-03-27,Monday,12500,9.8,1,1
2023-03-28,Tuesday,12500,4.1,1,1
2023-03-29,Wednesday,12500,2.8,1,1
2023-03-30,Thursday,12500,3.3,1,1
2023-03-31,Friday,12500,2.3,1,1
2023-04-01,Saturday,12500,3.0,1,1
2023-04-02,Sunday,12500,5.9,1,1
2023-04-03,Monday,12500,4.2,1,1
2023-04-04,Tuesday,12500,0.7,1,1
2023-04-05,Wednesday,12500,20.2,1,1
2023-04-06,Thursday,12500,0.0,1,1
2023-04-07,Friday,12500,18.9,1,1
2023-04-08,Saturday,12500,3.1,1,1
2023-04-09,Sunday,12500,9.1,1,1
2023-04-10,Monday,12500,3.8,1,1
2023-04-11,Tuesday,12500,3.5,1,1
2023-04-12,Wednesday,12500,1.9,1,1
2023-04-13,Thursday,12500,1.7,1,1
2023-04-14,Friday,12500,4.2,1,1
2023-04-15,Saturday,12500,3.5,1,1
2023-04-16,Sunday,12500,1.6,1,1
2023-04-17,Monday,12500,2.3,1,1
2023-04-18,Tuesday,12500,8.0,1,1
2023-04-19,Wednesday,12500,18.2,1,1
2023-04-20,Thursday,12500,4.7,1,1
2023-04-21,Friday,12500,3.3,1,1
2023-04-22,Saturday,12500,9.1,1,1
2023-04-23,Sunday,12500,14.6,1,1
2023-04-24,Monday,12500,8.5,1,1
2023-04-25,Tuesday,12500,6.7,1,1
2023-04-26,Wednesday,12500,2.5,1,1
2023-04-27,Thursday,12500,20.0,1,1
2023-04-28,Friday,12500,13.4,1,1
2023-04-29,Saturday,12500,12.7,1,1
2023-04-30,Sunday,12500,15.7,1,1
2023-05-01,Monday,12500,11.8,0,0
2023-05-02,Tuesday,12500,16.7,0,0
2023-05-03,Wednesday,12500,9.4,0,0
2023-05-04,Thursday,12500,21.2,0,0
2023-05-05,Friday,12500,11.4,0,0
2023-05-06,Saturday,12500,17.2,0,0
2023-05-07,Sunday,12500,16.9,0,0
2023-05-08,Monday,12500,6.8,0,0
2023-05-09,Tuesday,12500,0.0,0,0
2023-05-10,Wednesday,12500,4.9,0,0
2023-05-11,Thursday,12500,0.1,0,0
2023-05-12,Friday,12500,0.2,0,0
2023-05-13,Saturday,12500,18.5,0,0
2023-05-14,Sunday,12500,12.7,0,0
2023-05-15,Monday,12500,8.9,0,0
2023-05-16,Tuesday,12500,3.3,0,0
2023-05-17,Wednesday,12500,10.2,0,0
2023-05-18,Thursday,12500,19.8,0,0
2023-05-19,Friday,12500,4.4,0,0
2023-05-20,Saturday,12500,22.0,0,0
2023-05-21,Sunday,12500,6.4,0,0
2023-05-22,Monday,12500,16.0,0,0
2023-05-23,Tuesday,12500,9.8,0,0
2023-05-24,Wednesday,12500,6.4,0,0
2023-05-25,Thursday,12500,11.1,0,0
2023-05-26,Friday,12500,25.1,0,0
2023-05-27,Saturday,12500,12.5,0,0
2023-05-28,Sunday,12500,22.0,0,0
2023-05-29,Monday,12500,1.1,0,0
2023-05-30,Tuesday,12500,2.6,0,0
2023-05-31,Wednesday,12500,11.1,0,0
2023-06-01,Thursday,12500,4.4,0,0
2023-06-02,Friday,12500,0.8,0,0
2023-06-03,Saturday,12500,8.0,0,0
2023-06-04,Sunday,12500,3.2,0,0
2023-06-05,Monday,12500,26.4,0,0
2023-06-06,Tuesday,12500,17.6,0,0
2023-06-07,Wednesday,12500,4.8,0,0
2023-06-08,Thursday,12500,1.0,0,0
2023-06-09,Friday,12500,1.5,0,0
2023-06-10,Saturday,12500,16.3,0,0
2023-06-11,Sunday,12500,12.3,0,0
2023-06-12,Monday,12500,2.1,0,0
2023-06-13,Tuesday,12500,3.9,0,0
2023-06-14,Wednesday,12500,5.9,0,0
2023-06-15,Thursday,12500,2.1,0,0
2023-06-16,Friday,12500,4.6,0,0
2023-06-17,Saturday,12500,24.4,0,0
2023-06-18,Sunday,12500,3.8,0,0
2023-06-19,Monday,12500,1.5,0,0
2023-06-20,Tuesday,12500,0.0,0,0
2023-06-21,Wednesday,12500,3.7,0,0
2023-06-22,Thursday,12500,22.1,0,0
2023-06-23,Friday,12500,11.2,0,0
2023-06-24,Saturday,12500,6.5,0,0
2023-06-25,Sunday,12500,6.2,0,0
2023-06-26,Monday,12500,8.3,0,0
