time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,14250,1.0,0,1
2023-01-02,Monday,14250,12.5,0,1
2023-01-03,Tuesday,14250,7.9,0,1
2023-01-04,Wednesday,14250,9.4,0,1
2023-01-05,Thursday,14250,17.2,0,1
2023-01-06,Friday,14250,14.7,0,1
2023-01-07,Saturday,14250,3.1,0,1
2023-01-08,Sunday,14250,8.9,0,0
2023-01-09,Monday,14250,2.4,0,0
2023-01-10,Tuesday,14250,2.3,0,0
2023-01-11,Wednesday,14250,2.5,0,0
2023-01-12,Thursday,14250,2.0,0,0
2023-01-13,Friday,14250,8.9,0,0
2023-01-14,Saturday,14251,0.9,0,0
2023-01-15,Sunday,14251,0.3,0,0
2023-01-16,Monday,14250,0.8,0,0
2023-01-17,Tuesday,14250,0.9,0,0
2023-01-18,Wednesday,14250,3.1,0,0
2023-01-19,Thursday,14250,13.0,0,0
2023-01-20,Friday,14500,3.1,0,0
2023-01-21,Saturday,14609,22.4,0,0
2023-01-22,Sunday,14566,13.4,0,0
2023-01-23,Monday,14500,7.0,0,0
2023-01-24,Tuesday,14500,21.7,0,0
2023-01-25,Wednesday,14500,30.4,0,0
2023-01-26,Thursday,14500,7.7,0,0
2023-01-27,Friday,14500,15.2,0,0
2023-01-28,Saturday,14500,13.3,0,0
2023-01-29,Sunday,14502,88.6,0,0
2023-01-30,Monday,14500,6.7,0,0
2023-01-31,Tuesday,14500,31.8,0,0
2023-02-01,Wednesday,14500,17.2,0,0
2023-02-02,Thursday,14500,49.2,0,0
2023-02-03,Friday,14500,21.2,0,0
2023-02-04,Saturday,14522,29.5,0,0
2023-02-05,Sunday,14528,3.5,0,0
2023-02-06,Monday,14500,15.6,0,0
2023-02-07,Tuesday,14500,3.4,0,0
2023-02-08,Wednesday,14750,1.4,0,0
2023-02-09,Thursday,14750,4.3,0,0
2023-02-10,Friday,14750,7.8,0,0
2023-02-11,Saturday,14754,3.8,0,0
2023-02-12,Sunday,14750,33.7,0,0
2023-02-13,Monday,14750,19.2,0,0
2023-02-14,Tuesday,14750,1.2,0,0
2023-02-15,Wednesday,14750,1.5,0,0
2023-02-16,Thursday,14750,7.2,0,0
2023-02-17,Friday,14900,5.7,0,0
2023-02-18,Saturday,15035,1.0,0,0
2023-02-19,Sunday,15115,9.0,0,0
2023-02-20,Monday,15150,4.5,0,0
2023-02-21,Tuesday,15150,0.2,0,0
2023-02-22,Wednesday,15150,0.2,0,0
2023-02-23,Thursday,15150,1.3,0,0
2023-02-24,Friday,15150,4.9,0,0
2023-02-25,Saturday,15148,15.2,0,0
2023-02-26,Sunday,15149,24.7,0,0
2023-02-27,Monday,15150,16.1,0,0
2023-02-28,Tuesday,15150,38.4,0,0
2023-03-01,Wednesday,15150,16.5,1,0
2023-03-02,Thursday,15150,17.8,1,0
2023-03-03,Friday,15150,33.7,1,0
2023-03-04,Saturday,15152,41.9,1,0
2023-03-05,Sunday,15152,28.2,1,0
2023-03-06,Monday,15150,19.5,1,0
2023-03-07,Tuesday,15150,10.3,1,0
2023-03-08,Wednesday,15150,8.3,1,0
2023-03-09,Thursday,15150,25.2,1,0
2023-03-10,Friday,15150,16.0,1,0
2023-03-11,Saturday,15231,38.0,1,0
2023-03-12,Sunday,15333,8.7,1,0
2023-03-13,Monday,15400,21.4,1,0
2023-03-14,Tuesday,15400,1.0,1,0
2023-03-15,Wednesday,15400,4.3,1,0
2023-03-16,Thursday,15400,24.0,1,0
2023-03-17,Friday,15400,21.3,1,0
2023-03-18,Saturday,15369,26.7,1,0
2023-03-19,Sunday,15356,9.8,1,0
2023-03-20,Monday,15400,22.5,1,0
2023-03-21,Tuesday,15500,4.0,1,0
2023-03-22,Wednesday,15500,5.8,1,0
2023-03-23,Thursday,15500,9.0,1,1
2023-03-24,Friday,15500,11.0,1,1
2023-03-25,Saturday,15503,5.2,1,1
2023-03-26,Sunday,15501,1.1,1,1
2023-03-27,Monday,15500,9.7,1,1
2023-03-28,Tuesday,15500,14.0,1,1
2023-03-29,Wednesday,15500,7.8,1,1
2023-03-30,Thursday,15500,7.3,1,1
2023-03-31,Friday,15500,10.9,1,1
2023-04-01,Saturday,15529,0.6,1,1
2023-04-02,Sunday,15547,1.2,1,1
2023-04-03,Monday,15500,7.6,1,1
2023-04-04,Tuesday,15400,0.9,1,1
2023-04-05,Wednesday,15400,5.5,1,1
2023-04-06,Thursday,15250,7.7,1,1
2023-04-07,Friday,15250,4.6,1,1
2023-04-08,Saturday,15268,6.8,1,1
2023-04-09,Sunday,15264,2.6,1,1
2023-04-10,Monday,15250,1.7,1,1
2023-04-11,Tuesday,15250,1.6,1,1
2023-04-12,Wednesday,15250,0.2,1,1
2023-04-13,Thursday,15250,0.0,1,1
2023-04-14,Friday,15250,0.0,1,1
2023-04-15,Saturday,15294,0.0,1,1
2023-04-16,Sunday,15353,0.2,1,1
2023-04-17,Monday,15400,1.8,1,1
2023-04-18,Tuesday,15400,5.2,1,1
2023-04-19,Wednesday,15400,15.9,1,1
2023-04-20,Thursday,15400,3.8,1,1
2023-04-21,Friday,15400,2.6,1,1
2023-04-22,Saturday,15402,7.4,1,1
2023-04-23,Sunday,15402,4.8,1,1
2023-04-24,Monday,15400,29.2,1,1
2023-04-25,Tuesday,15400,25.7,1,1
2023-04-26,Wednesday,15400,14.0,1,1
2023-04-27,Thursday,15400,2.2,1,1
2023-04-28,Friday,15400,15.6,1,1
2023-04-29,Saturday,15400,14.2,1,1
2023-04-30,Sunday,15400,3.5,1,1
2023-05-01,Monday,15400,7.3,0,0
2023-05-02,Tuesday,15400,11.8,0,0
2023-05-03,Wednesday,15400,5.9,0,0
2023-05-04,Thursday,15400,5.3,0,0
2023-05-05,Friday,15400,12.8,0,0
2023-05-06,Saturday,15400,9.4,0,0
2023-05-07,Sunday,15400,6.4,0,0
2023-05-08,Monday,15400,3.8,0,0
2023-05-09,Tuesday,15400,13.7,0,0
2023-05-10,Wednesday,15400,0.0,0,0
2023-05-11,Thursday,15400,0.0,0,0
2023-05-12,Friday,15400,12.3,0,0
2023-05-13,Saturday,15400,15.6,0,0
2023-05-14,Sunday,15400,2.4,0,0
2023-05-15,Monday,15400,0.3,0,0
2023-05-16,Tuesday,15400,1.6,0,0
2023-05-17,Wednesday,15400,0.0,0,0
2023-05-18,Thursday,15400,0.0,0,0
2023-05-19,Friday,15400,5.8,0,0
2023-05-20,Saturday,15400,0.6,0,0
2023-05-21,Sunday,15400,0.7,0,0
2023-05-22,Monday,15400,10.0,0,0
2023-05-23,Tuesday,15400,7.7,0,0
2023-05-24,Wednesday,15400,0.7,0,0
2023-05-25,Thursday,15400,2.2,0,0
2023-05-26,Friday,15400,1.9,0,0
2023-05-27,Saturday,15400,2.2,0,0
2023-05-28,Sunday,15400,5.8,0,0
2023-05-29,Monday,15400,4.0,0,0
2023-05-30,Tuesday,15400,3.1,0,0
2023-05-31,Wednesday,15400,1.4,0,0
2023-06-01,Thursday,15400,6.4,0,0
2023-06-02,Friday,15400,1.6,0,0
2023-06-03,Saturday,15400,12.9,0,0
2023-06-04,Sunday,15400,15.2,0,0
2023-06-05,Monday,15400,2.4,0,0
2023-06-06,Tuesday,15400,11.9,0,0
2023-06-07,Wednesday,15400,0.8,0,0
2023-06-08,Thursday,15400,0.2,0,0
2023-06-09,Friday,15400,0.1,0,0
2023-06-10,Saturday,15400,1.0,0,0
2023-06-11,Sunday,15400,2.5,0,0
2023-06-12,Monday,15400,0.2,0,0
2023-06-13,Tuesday,15400,0.6,0,0
2023-06-14,Wednesday,15400,29.7,0,0
2023-06-15,Thursday,15400,3.5,0,0
2023-06-16,Friday,15400,7.2,0,0
2023-06-17,Saturday,15400,0.2,0,0
2023-06-18,Sunday,15400,0.0,0,0
2023-06-19,Monday,15400,0.7,0,0
2023-06-20,Tuesday,15400,0.3,0,0
2023-06-21,Wednesday,15400,0.1,0,0
2023-06-22,Thursday,15400,0.9,0,0
2023-06-23,Friday,15400,2.1,0,0
2023-06-24,Saturday,15400,2.4,0,0
2023-06-25,Sunday,15400,1.6,0,0
2023-06-26,Monday,15400,0.7,0,0
2023-06-27,Tuesday,15400,3.9,0,0
2023-06-28,Wednesday,15400,5.2,0,0
2023-06-29,Thursday,15400,3.8,0,0
2023-06-30,Friday,15400,11.4,0,0
2023-07-01,Saturday,15400,12.9,1,0
2023-07-02,Sunday,15400,19.8,1,0
2023-07-03,Monday,15400,0.1,1,0
2023-07-04,Tuesday,15400,0.2,1,0
2023-07-05,Wednesday,15400,7.8,1,0
2023-07-06,Thursday,15400,25.4,1,0
2023-07-07,Friday,15400,3.7,1,0
2023-07-08,Saturday,15400,0.1,1,0
2023-07-09,Sunday,15400,2.5,1,0
2023-07-10,Monday,15400,5.4,1,0
2023-07-11,Tuesday,15400,14.1,1,0
2023-07-12,Wednesday,15400,8.9,1,0
2023-07-13,Thursday,15400,0.0,1,0
