time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,12650,14.6,0,1
2023-01-02,Monday,12650,2.0,0,1
2023-01-03,Tuesday,12650,1.7,0,1
2023-01-04,Wednesday,12650,3.3,0,1
2023-01-05,Thursday,12650,15.4,0,1
2023-01-06,Friday,12650,37.2,0,1
2023-01-07,Saturday,12650,3.8,0,1
2023-01-08,Sunday,12649,8.0,0,0
2023-01-09,Monday,12650,8.7,0,0
2023-01-10,Tuesday,12650,3.0,0,0
2023-01-11,Wednesday,12650,1.4,0,0
2023-01-12,Thursday,12650,1.3,0,0
2023-01-13,Friday,12650,2.5,0,0
2023-01-14,Saturday,12722,1.4,0,0
2023-01-15,Sunday,12829,13.7,0,0
2023-01-16,Monday,12900,11.8,0,0
2023-01-17,Tuesday,12900,6.6,0,0
2023-01-18,Wednesday,12900,7.2,0,0
2023-01-19,Thursday,12900,6.8,0,0
2023-01-20,Friday,12900,2.6,0,0
2023-01-21,Saturday,12900,27.7,0,0
2023-01-22,Sunday,12900,5.2,0,0
2023-01-23,Monday,12900,1.4,0,0
2023-01-24,Tuesday,12900,7.2,0,0
2023-01-25,Wednesday,12900,24.2,0,0
2023-01-26,Thursday,12900,33.8,0,0
2023-01-27,Friday,12900,23.4,0,0
2023-01-28,Saturday,12900,17.9,0,0
2023-01-29,Sunday,12900,10.0,0,0
2023-01-30,Monday,12900,2.1,0,0
2023-01-31,Tuesday,12900,18.0,0,0
2023-02-01,Wednesday,12900,14.1,0,0
2023-02-02,Thursday,12900,19.1,0,0
2023-02-03,Friday,12900,7.3,0,0
2023-02-04,Saturday,12874,7.1,0,0
2023-02-05,Sunday,12857,7.6,0,0
2023-02-06,Monday,12900,12.5,0,0
2023-02-07,Tuesday,13000,12.8,0,0
2023-02-08,Wednesday,13000,15.0,0,0
2023-02-09,Thursday,13000,22.2,0,0
2023-02-10,Friday,13150,7.0,0,0
2023-02-11,Saturday,13244,16.4,0,0
2023-02-12,Sunday,13261,10.1,0,0
2023-02-13,Monday,13250,17.6,0,0
2023-02-14,Tuesday,13250,7.5,0,0
2023-02-15,Wednesday,13250,15.5,0,0
2023-02-16,Thursday,13250,25.5,0,0
2023-02-17,Friday,13250,13.8,0,0
2023-02-18,Saturday,13249,20.7,0,0
2023-02-19,Sunday,13249,11.5,0,0
2023-02-20,Monday,13250,9.0,0,0
2023-02-21,Tuesday,13250,9.0,0,0
2023-02-22,Wednesday,13250,40.5,0,0
2023-02-23,Thursday,13250,9.2,0,0
2023-02-24,Friday,13250,9.9,0,0
2023-02-25,Saturday,13249,8.0,0,0
2023-02-26,Sunday,13249,11.8,0,0
2023-02-27,Monday,13250,10.0,0,0
2023-02-28,Tuesday,13250,19.6,0,0
2023-03-01,Wednesday,13250,14.0,1,0
2023-03-02,Thursday,13250,74.0,1,0
2023-03-03,Friday,13250,3.8,1,0
2023-03-04,Saturday,13209,16.0,1,0
2023-03-05,Sunday,13186,12.5,1,0
2023-03-06,Monday,13250,2.7,1,0
