time,Day,Harga Pasar,Curah Hujan,IsHarvestMonth,IsBigMonth
2023-01-01,Sunday,-,25.7,0,1
2023-01-02,Monday,"14,500",2.5,0,1
2023-01-03,Tuesday,"14,500",15.8,0,1
2023-01-04,Wednesday,"14,450",2,0,1
2023-01-05,Thursday,"14,550",0.6,0,1
2023-01-06,Friday,"14,550",0.1,0,1
2023-01-07,Saturday,-,2.9,0,1
2023-01-08,Sunday,-,8.8,0,0
2023-01-09,Monday,"14,600",2,0,0
2023-01-10,Tuesday,"14,650",3.6,0,0
2023-01-11,Wednesday,"14,650",1.2,0,0
2023-01-12,Thursday,"14,550",1.3,0,0
2023-01-13,Friday,"14,550",7.6,0,0
2023-01-14,Saturday,-,7.4,0,0
2023-01-15,Sunday,-,3.6,0,0
2023-01-16,Monday,"14,550",5,0,0
2023-01-17,Tuesday,"14,550",13.1,0,0
2023-01-18,Wednesday,"14,750",16.5,0,0
2023-01-19,Thursday,"14,750",6.2,0,0
2023-01-20,Friday,"14,750",3.2,0,0
2023-01-21,Saturday,-,10.1,0,0
2023-01-22,Sunday,-,16.5,0,0
2023-01-23,Monday,"14,750",12.8,0,0
2023-01-24,Tuesday,"14,750",2.1,0,0
2023-01-25,Wednesday,"14,750",21.7,0,0
2023-01-26,Thursday,"14,750",5.3,0,0
2023-01-27,Friday,"14,750",6.9,0,0
2023-01-28,Saturday,-,24.5,0,0
2023-01-29,Sunday,-,13.5,0,0
2023-01-30,Monday,"14,800",2.4,0,0
2023-01-31,Tuesday,"14,800",3.4,0,0
2023-02-01,Wednesday,"14,800",6.1,0,0
2023-02-02,Thursday,"14,800",21.5,0,0
2023-02-03,Friday,"14,800",1.9,0,0
2023-02-04,Saturday,-,7.2,0,0
2023-02-05,Sunday,-,9.2,0,0
2023-02-06,Monday,"14,850",0,0,0
2023-02-07,Tuesday,"14,750",16.9,0,0
2023-02-08,Wednesday,"14,750",0.7,0,0
2023-02-09,Thursday,"14,750",6,0,0
2023-02-10,Friday,"14,950",6.6,0,0
2023-02-11,Saturday,-,16.8,0,0
2023-02-12,Sunday,-,33.1,0,0
2023-02-13,Monday,"14,950",6.6,0,0
2023-02-14,Tuesday,"14,950",5,0,0
2023-02-15,Wednesday,"14,950",10.9,0,0
2023-02-16,Thursday,"14,950",23.1,0,0
2023-02-17,Friday,"14,950",13.8,0,0
2023-02-18,Saturday,-,1.5,0,0
2023-02-19,Sunday,-,4.9,0,0
2023-02-20,Monday,"14,950",5.4,0,0
2023-02-21,Tuesday,"14,950",18.4,0,0
2023-02-22,Wednesday,"14,950",8,0,0
2023-02-23,Thursday,"14,950",21.2,0,0
2023-02-24,Friday,"14,950",25.8,0,0
2023-02-25,Saturday,-,12.6,0,0
2023-02-26,Sunday,-,25.1,0,0
2023-02-27,Monday,"14,950",16.3,0,0
2023-02-28,Tuesday,"14,950",14.5,0,0
2023-03-01,Wednesday,"14,950",30.4,1,0
2023-03-02,Thursday,"14,850",30.5,1,0
2023-03-03,Friday,"14,850",0.9,1,0
2023-03-04,Saturday,-,14.9,1,0
2023-03-05,Sunday,-,4.2,1,0
2023-03-06,Monday,"14,850",6.3,1,0
2023-03-07,Tuesday,"14,850",16.4,1,0
2023-03-08,Wednesday,"14,850",20,1,0
2023-03-09,Thursday,"14,850",14.6,1,0
2023-03-10,Friday,"14,850",11.7,1,0
2023-03-11,Saturday,-,12.9,1,0
2023-03-12,Sunday,-,5.3,1,0
2023-03-13,Monday,"14,850",3.8,1,0
2023-03-14,Tuesday,"14,850",35.7,1,0
2023-03-15,Wednesday,"14,850",28.2,1,0
2023-03-16,Thursday,"14,850",0.1,1,0
2023-03-17,Friday,"14,850",16.7,1,0
2023-03-18,Saturday,-,18.5,1,0
2023-03-19,Sunday,-,4.5,1,0
2023-03-20,Monday,"14,850",2.8,1,0
2023-03-21,Tuesday,"14,850",1.4,1,0
2023-03-22,Wednesday,"14,850",3.4,1,0
2023-03-23,Thursday,"14,850",0.7,1,1
2023-03-24,Friday,"14,850",2.9,1,1
2023-03-25,Saturday,-,25.6,1,1
2023-03-26,Sunday,-,11.8,1,1
2023-03-27,Monday,"14,900",9.2,1,1
2023-03-28,Tuesday,"14,900",8.8,1,1
2023-03-29,Wednesday,"14,900",17.5,1,1
2023-03-30,Thursday,"15,550",21.1,1,1
2023-03-31,Friday,"14,900",0.7,1,1
2023-04-01,Saturday,-,0.7,1,1
2023-04-02,Sunday,-,10.3,1,1
2023-04-03,Monday,"14,900",7.8,1,1
2023-04-04,Tuesday,"14,900",0.7,1,1
2023-04-05,Wednesday,"14,900",8.9,1,1
2023-04-06,Thursday,"14,900",0,1,1
2023-04-07,Friday,"14,900",2.5,1,1
2023-04-08,Saturday,-,6.7,1,1
2023-04-09,Sunday,-,1.6,1,1
2023-04-10,Monday,"14,900",2.2,1,1
2023-04-11,Tuesday,"14,900",5,1,1
2023-04-12,Wednesday,"14,900",0.9,1,1
2023-04-13,Thursday,"14,900",2.6,1,1
2023-04-14,Friday,"14,900",6,1,1
2023-04-15,Saturday,-,6.9,1,1
2023-04-16,Sunday,-,19.8,1,1
2023-04-17,Monday,"14,900",19.7,1,1
2023-04-18,Tuesday,"14,900",11.2,1,1
2023-04-19,Wednesday,"14,900",7.6,1,1
2023-04-20,Thursday,"14,900",6.2,1,1
2023-04-21,Friday,"14,900",5.7,1,1
2023-04-22,Saturday,-,1.1,1,1
2023-04-23,Sunday,-,4.7,1,1
2023-04-24,Monday,"14,900",4.5,1,1
2023-04-25,Tuesday,"14,900",2.1,1,1
2023-04-26,Wednesday,"14,900",1.9,1,1
2023-04-27,Thursday,"14,900",5,1,1
2023-04-28,Friday,"14,900",2.9,1,1
2023-04-29,Saturday,-,0.3,1,1
2023-04-30,Sunday,-,13.9,1,1
2023-05-01,Monday,-,11.2,0,0
2023-05-02,Tuesday,"14,900",9.6,0,0
2023-05-03,Wednesday,"14,900",7.7,0,0
2023-05-04,Thursday,"14,900",13.2,0,0
2023-05-05,Friday,"14,900",21.3,0,0
2023-05-06,Saturday,-,15.3,0,0
2023-05-07,Sunday,-,16.1,0,0
2023-05-08,Monday,"14,900",0.3,0,0
2023-05-09,Tuesday,"14,900",0.3,0,0
2023-05-10,Wednesday,"13,550",5.1,0,0
2023-05-11,Thursday,"14,900",2.1,0,0
2023-05-12,Friday,"14,900",1.3,0,0
2023-05-13,Saturday,-,14.2,0,0
2023-05-14,Sunday,-,0.4,0,0
2023-05-15,Monday,"14,900",0.1,0,0
2023-05-16,Tuesday,"14,900",0.2,0,0
2023-05-17,Wednesday,"14,900",0.3,0,0
2023-05-18,Thursday,"14,900",9.3,0,0
2023-05-19,Friday,"14,900",1.1,0,0
2023-05-20,Saturday,-,1.7,0,0
2023-05-21,Sunday,-,2.5,0,0
2023-05-22,Monday,"14,900",0.5,0,0
2023-05-23,Tuesday,"14,900",1.5,0,0
2023-05-24,Wednesday,"14,900",0.7,0,0
2023-05-25,Thursday,"14,900",0.3,0,0
2023-05-26,Friday,"14,900",0.1,0,0
2023-05-27,Saturday,-,2.6,0,0
2023-05-28,Sunday,-,2.1,0,0
2023-05-29,Monday,"14,900",3.6,0,0
2023-05-30,Tuesday,"14,900",4.4,0,0
2023-05-31,Wednesday,"14,900",0.5,0,0
2023-06-01,Thursday,"14,900",0,0,0
2023-06-02,Friday,"14,900",0,0,0
